Timestamp,Experiment,SequenceName,SequenceLength,CPU_Cores,CPU_Speed_GHz,ExecutionTime_s,ExecutionTime_ms,CPU_Usage(%),RAM_Usage(MB),Active_Cores
2025-03-09 23:37:16,MultiSequenceLearning,SequenceA,5,2,1.8,12.63,12633,0.00,57.00,2
2025-03-09 23:37:30,MultiSequenceLearning,SequenceB,6,2,1.8,13.54,13539,0.00,60.00,2
