Timestamp,Experiment,SequenceName,SequenceLength,CPU_Cores,CPU_Speed_GHz,ExecutionTime_s,ExecutionTime_ms,CPU_Usage(%),RAM_Usage(MB),Active_Cores
2025-03-09 18:13:32,MultiSequenceLearning,SequenceA,5,2,1.8,15.37,15374,3.09,58.00,2
2025-03-09 18:13:47,MultiSequenceLearning,SequenceB,6,2,1.8,13.94,13944,0.00,58.00,2
